generic id,generic name,slug,monograph link,drug class,indication,indication description,dosage description,side effects description,overdose effects description,storage conditions description,reconstitution description
6,Acetylcysteine,acetylcysteine-6,https://medex.com.bd/attachments/bWME7gJ1TpoYJ43oXYfS81UrClipoK/acetylcysteine-prescribing-information,Antidote preparations,Tuberculosis,acetylcysteine is indicated as an adjuvant treatment in certain clinical condition characterized by the presence of thick and viscous mucoid or mucopurulent secretions such as chronic bronchopulmonary diseases chronic obstructive pulmonary disease emphysema with bronchitis chronic asthmatic bronchitis  read moreacetylcysteine is indicated as an adjuvant treatment in certain clinical condition characterized by the presence of thick and viscous mucoid or mucopurulent secretions such as chronic bronchopulmonary diseases chronic obstructive pulmonary disease emphysema with bronchitis chronic asthmatic bronchitis bronchiectasis acute bronchopulmonary diseases asthma with bronchial mucus plugging bronchitis bronchopneumonia tracheobronchitis bronchiolitis pulmonary complications of cystic fibrosis pulmonary complications associated with surgery,"effervescent tablet or dispersible tablet adults and children above 6 years one effervescent tablet of acetylcysteine 600 mg a day preferably in the evening the duration of treatment should be 5 to 10 days in the acute treatment whereas it may be continued in the chronic states for several months according to the advice of the physician dissolve the tablets in a glass containing a small quantity of water mixing it if necessary with a spoon a palatable solution is thus obtained which can be drunk directly from the glasseffervescent granules

adults and children above 6 years 1 sachet acetylcysteine 200 mg or 2 sachets acetylcysteine 100 mg 23 times a day
children 26 years of age 1 sachet acetylcysteine 100 mg from 2 to 4 times a day according to the age

the duration of treatment should be 5 to 10 days in the acute treatment whereas it may be continued in the chronic states for several months according to the advice of the physiciandissolve the contents of the sachets in a glass containing a small quantity of water mixing it if necessary with a spoon a palatable solution is thus obtained which can be drunk directly from the glassnebuliser solution the 20 solution may be diluted to a lesser concentration with either sodium chloride for injection sodium chloride for inhalation sterile water for injection or sterile water for inhalation

adult 510 ml of 10 or 20 solution by nebuliser every 68 hr prn
children 111 months 12 ml of 20 or 24 ml of 10 solution by nebuliser every 68 hr prn
12 months11 years 35 ml of 20 or 610 ml of 10 solution by nebuliser every 68 hr prn
below 12 years 510 ml of 1020 solution by nebuliser every 68 hr prn

 diagnostic bronchograms 12 ml of 20 or 24 ml of 10 solution 23 times by nebulisation or by instillation intratracheally prior to procedure nebulisation tent or croupette this form of administration requires very large volumes of the solution occasionally as much as 300 ml during a single treatment period if a tent or croupette must be used the recommended dose is the volume of acetylcysteine using 20 that will maintain a very heavy mist in the tent or croupette for the desired period administration for intermittent or continuous prolonged periods including overnight may be desirable direct instillation when used by direct instillation 12 ml of a 20 solution may be given as often as every hour when used for the routine nursing care of patients with tracheostomy 12 ml of a 20 solution may be given every 14 hours by instillation into the tracheostomy",like all medicines acetylcysteine can cause side effects although not everybody gets them in very rare cases severe immune reactions may occur such as anaphylactic shock and severe skin reaction in rare cases the oral administration can be followed by shortness of breath upset stomach and bronchospasm the most frequent side effects are headache increased heart rate stomatitis pruritus urticaria nausea vomiting abdominal pain fever decrease in the blood pressure diarrhoea and noises in the ears,overdose of acetylcysteine may cause nausea vomiting or diarrhoea,store in a cool and dry place protected from light,['tuberculosis acetylcysteine indicated adjuvant treatment certain clinical condition characterized presence thick viscous mucoid mucopurulent secretion chronic bronchopulmonary disease chronic obstructive pulmonary disease emphysema bronchitis chronic asthmatic bronchitis read moreacetylcysteine indicated adjuvant treatment certain clinical condition characterized presence thick viscous mucoid mucopurulent secretion chronic bronchopulmonary disease chronic obstructive pulmonary disease emphysema bronchitis chronic asthmatic bronchitis bronchiectasis acute bronchopulmonary disease asthma bronchial mucus plugging bronchitis bronchopneumonia tracheobronchitis bronchiolitis pulmonary complication cystic fibrosis pulmonary complication associated surgery']
26,Acetazolamide,acetazolamide-26,https://medex.com.bd/attachments/7ErMDc36jBxgtwgTFbGUGuCuTncAlx/acetazolamide-prescribing-information,Carbonic anhydrase inhibitor,Tumor lysis syndrome,acetazolamide is indicated in open angle glaucoma secondary glaucoma and as an adjuvant in the treatment of edema and epilepsy,adults  initially 250 mg 1 tablet 4 times daily dose should be adjusted later with individual need children   to 2 tablets in divided doses in intraocular pressure 1 tablet 6 hourly in acute condition dose should be started with 2 tablets followed by 1 tablet 6 hourly or as directed by the physician,common side effects are headache drowsiness dizziness fatigue anorexia polyurea insomnia gastrointestinal upset,not available,keep below 30c temperature away from light  moisture keep out of the reach of children,['tumor lysis syndrome acetazolamide indicated open angle glaucoma secondary glaucoma adjuvant treatment edema epilepsy']
184,Acetate Formulation [Hemodialysis Solution],acetate-formulation-hemodialysis-solution-184,not available,Haemodialysis solutions,Haemodialysis,this solution is used for haemodialysis,recommended dose 5 liters concentrate per dialysis or as required,fluid and electrolyte imbalance hypovolemia hypotension or muscle cramping may occur,not available,not available,['haemodialysis solution used haemodialysis']
21,Acemetacin,acemetacin-21,https://medex.com.bd/attachments/Y77vDUVBSO8oAj3lWNQcYxV8NqUB9v/acemetacin-prescribing-information,Non-steroidal Anti-inflammatory Drugs (NSAIDs),Spondylitis,"acemetacin is indicated in

pain  inflammation associated with musculoskeletal  joint disorders such as rheumatoid arthritis osteoarthritis low back pain
pain after an operation
",the recommended starting dose is 120mgday in divided doses increasing to 180mgday in divided doses depending on patient response for the treatment of elderly patients adjustment of dosage is not normally required however nsaids should be used with particular care in older patients who may be more prone to adverse reactions acemetacin should be taken with food milk or an antacid to reduce the possibility of gastrointestinal disturbance,common side effects include anorexia nausea vomiting diarrhoea and constipation peptic ulceration headache dizziness  vertigo rarely confusion depressed mood oedema chest pain blood urea elevation are found,not available,store in a cool and dry place below 25 and away from light,['spondylitis acemetacin indicated pain inflammation associated musculoskeletal joint disorder rheumatoid arthritis osteoarthritis low back pain pain operation']
3,Aceclofenac,aceclofenac-3,https://medex.com.bd/attachments/COVuU99iLCxjdgXktOCU5Vyl8OhfvE/aceclofenac-prescribing-information,Drugs for Osteoarthritis,Spondylitis,aceclofenac is indicated for the relief of pain and inflammation in osteoarthritis rheumatoid arthritis ankylosing spondylitis toothache trauma and lumbago,extended release tablet the recommended dose in adults is one 200 mg aceclofenac tablet daily or as prescribed by the physicianfilm coated tablet the recommended dose in adults is 100 mg twice daily,aceclofenac is a nonsteroidal drug with antiinflammatory and analgesic properties it is a potent inhibitor of the enzyme cyclooxygenase which is involved in the production of prostaglandin after oral administration it is rapidly and completely absorbed an unchanged drug,not available,keep in a dry place away from light and heat keep out of the reach of children,['spondylitis aceclofenac indicated relief pain inflammation osteoarthritis rheumatoid arthritis ankylosing spondylitis toothache trauma lumbago']
1723,"Bandish [Oak Galls, Tannic acid]",bandish-oak-galls-tannic-acid-1723,not available,Herbal and Nutraceuticals,Menorrhagia,"this is indicated in

epistaxis
menorrhagia
blood dysentery
bleeding haemorrhoid
",2 tablets twice daily or as prescribed by the physician,no significant side effect has been observed in the therapeutic dosage,not available,store at cool and dry place protect from light,['menorrhagia indicated epistaxis menorrhagia blood dysentery bleeding haemorrhoid']
1619,Balarista,balarista-1619,not available,Herbal and Nutraceuticals,Painful muscle spasm,this syrup is effective in physical debility boosts strength  energy improves the muscle tone excellent tonic for sportsmen and asthma patients useful in debility after fever and painful condition especially in sportsmen and geriatric patients,adult above 12 years 12 teaspoonfuls 510 ml three times a day,this is well tolerated within the recommended dose,not available,keep below 30c temperature away from light  moisture keep out of the reach of children,['painful muscle spasm syrup effective physical debility boost strength energy improves muscle tone excellent tonic sportsman asthma patient useful debility fever painful condition especially sportsman geriatric patient']
1524,Bacopa extract [Natural memory enhancer],bacopa-extract-natural-memory-enhancer-1524,not available,Herbal and Nutraceuticals,Epilepsy,this syrup is indicated in deficitcognitive deficit age associated memory impairment aami attention deficit disorder add dementia convulsion and epilepsy in children alzheimers disease autistic spectrum disorder asd and drug addiction,25 years1 teaspoonful 5 ml 23 times daily after meal for three months612 years 12 teaspoonful 510 ml 23 times daily after meal for three monthsabove 12 years and adult 23 teaspoonfuls 1015 ml 3 times daily after meal for three months,there are no side effects associated with the use of bacopa in the above mentioned therapeutic doses bacopa has been used safely as an ayurvedic medicine for hundreds of years,not available,keep in a cool dry place  away from direct sunlight keep the medicine out of the reach of children,['epilepsy syrup indicated deficitcognitive deficit age associated memory impairment aami attention deficit disorder add dementia convulsion epilepsy child alzheimers disease autistic spectrum disorder asd drug addiction']
1519,Aushokarist [Saraca Indica],aushokarist-saraca-indica-1519,https://medex.com.bd/attachments/ACrGdxOJ204fNImD9fEr392wLmsUbk/aushokarist-saraca-indica-prescribing-information,Herbal and Nutraceuticals,Polycystic ovarian syndrome,"aushokarist is indicated in

dysfunctional uterine bleeding dub
secondary amenorrhea
menorrhagia
polycystic ovarian syndrome pcos
infertility
",above 12 years and adult 23 teaspoonfuls 1015 ml 23 times daily after meal for 36 months or as directed by the physician,no health hazards or side effects are known in conjunction with the proper administration of designated therapeutic dosages,not available,keep below 30c temperature away from light  moisture keep out of the reach of children,['polycystic ovarian syndrome aushokarist indicated dysfunctional uterine bleeding dub secondary amenorrhea menorrhagia polycystic ovarian syndrome pcos infertility']
1758,Aswagandharista,aswagandharista-1758,not available,Herbal and Nutraceuticals,Libido,this is indicaed in nervous debility reduce libido insanity insomnia swooning syncope  general decay,adult 24 teaspoonful 23 times daily after mealchildren 12 teaspoonful 23 times daily after meal or as prescribed by the physician,there is no significant side effect,not available,store in a cool  dry place protected from light keep all medicines out of reach of children,['libido indicaed nervous debility reduce libido insanity insomnia swooning syncope general decay']
1757,Ashokarista,ashokarista-1757,not available,Herbal and Nutraceuticals,Uterine bleeding,ashokarista is indicated in premenstrual syndrome menstrual irregularities dysmenorrhoea and dysfunctional uterine bleeding,adult 12 teaspoonful 12 times daily after meal or or as directed by the physician,not yet known,not available,keep all medicines out of reach of children store in a cool and dry place protected from light,['uterine bleeding ashokarista indicated premenstrual syndrome menstrual irregularity dysmenorrhoea dysfunctional uterine bleeding']
1744,Arjunarista,arjunarista-1744,not available,Herbal and Nutraceuticals,Asthma,"arjunarista is indicated for the prevention  treatment of

cardiac palpitation
cardiopathy
cardiac asthma
physical debility
",adult 24 teaspoonful 23 times daily after mealchildren 12 teaspoonful 23 times daily after meal,there is no significant side effect,not available,keep all medicines out of reach of children store in a cool and dry place protected from light,['asthma arjunarista indicated prevention treatment cardiac palpitation cardiopathy cardiac asthma physical debility']
1745,Aravindasav,aravindasav-1745,not available,Herbal and Nutraceuticals,Malnutrition,"this insindicated in

malnutrition
indigestion
immune deficiency
dysentery
worm
",6 month above to 5 years of children 12 1 teaspoonful 2 times daily5 years above of children 12 teaspoonful 2 times daily,no side effect in the above mentioned therapeutic doses,not available,there is no evidence available on contraindication but it may happen inpatient who is hypersensitive to any of its ingredients,['malnutrition insindicated malnutrition indigestion immune deficiency dysentery worm']
1695,Antacid [Unani],antacid-unani-1695,not available,Herbal and Nutraceuticals,Peptic ulcer disease,"this preparation is indicated in

peptic ulcer
hyperacidity
dysentery
constipation
gastritis
flatulence
",peptic ulcer  hyperacidity 1 sachet twice daily before meal with half glass of waterdysentery 1 sachet 4 times daily constipation 1 sachet at bed time with plenty of watergastritis  flatulence 1 sachet twice daily before meal with waterdysentery 1 sachet 4 times daily or as prescribed by the physician,no significant side effect has been observed in proper dosage,not available,store at cool and dry place protect from light,['peptic ulcer disease preparation indicated peptic ulcer hyperacidity dysentery constipation gastritis flatulence']
